[assets.v2prompt] pipe patched to v2 instructions + restarted
[assets.v2prompt] 21 to run (0 already done)
[assets.v2prompt] 1/21 as-01 OK  det=1.0 judge=0.708 19.1s
[assets.v2prompt] 2/21 as-02 OK  det=1.0 judge=0.674 15.5s
[assets.v2prompt] 3/21 as-03 OK  det=1.0 judge=0.73 15.5s
[assets.v2prompt] 4/21 as-04 OK  det=1.0 judge=0.65 13.4s
[assets.v2prompt] 5/21 as-05 OK  det=1.0 judge=0.684 13.2s
[assets.v2prompt] 6/21 as-06 OK  det=1.0 judge=0.558 16.5s
[assets.v2prompt] 7/21 as-07 OK  det=1.0 judge=0.52 14.7s
[assets.v2prompt] 8/21 as-08 OK  det=1.0 judge=0.402 20.4s
[assets.v2prompt] 9/21 as-09 OK  det=1.0 judge=0.494 14.9s
[assets.v2prompt] 10/21 as-10 OK  det=1.0 judge=0.754 13.8s
[assets.v2prompt] 11/21 as-11 OK  det=0.857 judge=0.74 16.3s
[assets.v2prompt] 12/21 as-12 OK  det=0.714 judge=0.768 12.5s
[assets.v2prompt] 13/21 as-13 OK  det=1.0 judge=0.696 13.0s
[assets.v2prompt] 14/21 as-14 OK  det=0.833 judge=0.454 14.8s
[assets.v2prompt] 15/21 as-15 OK  det=0.833 judge=0.744 11.7s
[assets.v2prompt] 16/21 as-16 OK  det=1.0 judge=0.764 10.7s
[assets.v2prompt] 17/21 as-17 OK  det=1.0 judge=0.63 7.8s
[assets.v2prompt] 18/21 as-18 OK  det=1.0 judge=0.636 19.4s
[assets.v2prompt] 19/21 as-19 OK  det=1.0 judge=0.68 30.1s
[assets.v2prompt] 20/21 as-20 OK  det=1.0 judge=0.59 20.0s
[assets.v2prompt] 21/21 as-21 OK  det=1.0 judge=0.772 23.2s
[assets.v2prompt] lane complete
[assets.v2prompt] pipe restored to baseline instructions
