[assets.v3_claude] 21 to run (0 already done)
[assets.v3_claude] 1/21 as-01 OK  det=1.0 judge=0.8 13.6s
[assets.v3_claude] 2/21 as-02 OK  det=1.0 judge=0.706 13.1s
[assets.v3_claude] 3/21 as-03 OK  det=1.0 judge=0.786 14.7s
[assets.v3_claude] 4/21 as-04 OK  det=1.0 judge=0.77 28.7s
[assets.v3_claude] 5/21 as-05 OK  det=1.0 judge=0.81 15.1s
[assets.v3_claude] 6/21 as-06 OK  det=1.0 judge=0.794 26.0s
[assets.v3_claude] 7/21 as-07 OK  det=1.0 judge=0.802 17.7s
[assets.v3_claude] 8/21 as-08 OK  det=1.0 judge=0.52 22.5s
[assets.v3_claude] 9/21 as-09 OK  det=1.0 judge=0.7 17.3s
[assets.v3_claude] 10/21 as-10 OK  det=1.0 judge=0.828 20.3s
[assets.v3_claude] 11/21 as-11 OK  det=0.857 judge=0.774 17.1s
[assets.v3_claude] 12/21 as-12 OK  det=0.857 judge=0.76 18.5s
[assets.v3_claude] 13/21 as-13 OK  det=1.0 judge=0.798 17.3s
[assets.v3_claude] 14/21 as-14 OK  det=1.0 judge=0.672 14.5s
[assets.v3_claude] 15/21 as-15 OK  det=0.833 judge=0.844 16.9s
[assets.v3_claude] 16/21 as-16 OK  det=1.0 judge=0.774 12.4s
[assets.v3_claude] 17/21 as-17 OK  det=1.0 judge=0.792 13.3s
[assets.v3_claude] 18/21 as-18 OK  det=1.0 judge=0.672 13.3s
[assets.v3_claude] 19/21 as-19 OK  det=1.0 judge=0.83 26.2s
[assets.v3_claude] 20/21 as-20 OK  det=1.0 judge=0.762 26.1s
[assets.v3_claude] 21/21 as-21 OK  det=1.0 judge=0.804 27.8s
[assets.v3_claude] lane complete
