[rescore.baseline] 18 to run (2 already done)
[rescore.baseline] 1/18 rs-03 OK  det=1.0 judge=None 5.1s
[rescore.baseline] 2/18 rs-04 OK  det=1.0 judge=None 3.9s
[rescore.baseline] 3/18 rs-05 OK  det=0.0 judge=None 3.4s
[rescore.baseline] 4/18 rs-06 OK  det=1.0 judge=None 0.1s
[rescore.baseline] 5/18 rs-07 OK  det=1.0 judge=None 4.1s
[rescore.baseline] 6/18 rs-08 OK  det=1.0 judge=None 11.4s
[rescore.baseline] 7/18 rs-09 OK  det=1.0 judge=None 0.1s
[rescore.baseline] 8/18 rs-10 OK  det=1.0 judge=None 16.2s
[rescore.baseline] 9/18 rs-11 OK  det=1.0 judge=None 4.4s
[rescore.baseline] 10/18 rs-12 OK  det=1.0 judge=None 3.6s
[rescore.baseline] 11/18 rs-13 OK  det=1.0 judge=None 4.4s
[rescore.baseline] 12/18 rs-14 OK  det=0.0 judge=None 0.0s
[rescore.baseline] 13/18 rs-15 OK  det=0.0 judge=None 0.0s
[rescore.baseline] 14/18 rs-16 OK  det=0.0 judge=None 0.0s
[rescore.baseline] 15/18 rs-17 OK  det=0.0 judge=None 15.0s
[rescore.baseline] 16/18 rs-18 OK  det=0.0 judge=None 5.1s
[rescore.baseline] 17/18 rs-19 OK  det=1.0 judge=None 5.5s
[rescore.baseline] 18/18 rs-20 OK  det=1.0 judge=None 3.7s
[rescore.baseline] lane complete
