[signals.v2_helpfirst] 20 to run (0 already done)
[signals.v2_helpfirst] 1/20 sg-01 OK  det=0.333 judge=None 30.0s
[signals.v2_helpfirst] 2/20 sg-02 OK  det=0.952 judge=0.59 150.3s
[signals.v2_helpfirst] 3/20 sg-03 OK  det=1.0 judge=0.49 160.6s
[signals.v2_helpfirst] 4/20 sg-04 OK  det=0.939 judge=0.257 337.1s
[signals.v2_helpfirst] 5/20 sg-05 OK  det=1.0 judge=0.15 121.9s
[signals.v2_helpfirst] 6/20 sg-06 OK  det=1.0 judge=0.533 367.3s
[signals.v2_helpfirst] 7/20 sg-07 OK  det=1.0 judge=0.543 196.4s
[signals.v2_helpfirst] 8/20 sg-08 OK  det=1.0 judge=0.263 271.2s
[signals.v2_helpfirst] 9/20 sg-09 OK  det=1.0 judge=0.51 200.5s
[signals.v2_helpfirst] 10/20 sg-10 OK  det=1.0 judge=0.203 161.8s
[signals.v2_helpfirst] 11/20 sg-11 OK  det=1.0 judge=0.517 121.2s
[signals.v2_helpfirst] 12/20 sg-12 OK  det=1.0 judge=0.213 359.9s
[signals.v2_helpfirst] 13/20 sg-13 OK  det=1.0 judge=0.203 205.9s
[signals.v2_helpfirst] 14/20 sg-14 OK  det=0.971 judge=0.183 139.5s
[signals.v2_helpfirst] 15/20 sg-15 OK  det=1.0 judge=0.177 284.1s
[signals.v2_helpfirst] 16/20 sg-16 OK  det=1.0 judge=0.283 177.2s
[signals.v2_helpfirst] 17/20 sg-17 OK  det=1.0 judge=0.323 156.8s
[signals.v2_helpfirst] 18/20 sg-18 OK  det=1.0 judge=0.183 115.5s
[signals.v2_helpfirst] 19/20 sg-19 OK  det=0.971 judge=0.58 172.0s
[signals.v2_helpfirst] 20/20 sg-20 OK  det=0.929 judge=0.183 321.4s
[signals.v2_helpfirst] lane complete
