[assets.baseline] 21 to run (0 already done)
[assets.baseline] 1/21 as-01 OK  det=1.0 judge=0.714 20.0s
[assets.baseline] 2/21 as-02 OK  det=1.0 judge=0.676 13.3s
[assets.baseline] 3/21 as-03 OK  det=1.0 judge=0.628 21.5s
[assets.baseline] 4/21 as-04 OK  det=1.0 judge=0.674 17.3s
[assets.baseline] 5/21 as-05 OK  det=1.0 judge=0.65 10.8s
[assets.baseline] 6/21 as-06 OK  det=1.0 judge=0.606 12.8s
[assets.baseline] 7/21 as-07 OK  det=1.0 judge=0.626 18.7s
[assets.baseline] 8/21 as-08 OK  det=1.0 judge=0.452 46.5s
[assets.baseline] 9/21 as-09 OK  det=1.0 judge=0.486 22.2s
[assets.baseline] 10/21 as-10 OK  det=1.0 judge=0.724 17.0s
[assets.baseline] 11/21 as-11 OK  det=0.857 judge=0.728 16.0s
[assets.baseline] 12/21 as-12 OK  det=0.714 judge=0.736 18.3s
[assets.baseline] 13/21 as-13 OK  det=1.0 judge=0.744 12.6s
[assets.baseline] 14/21 as-14 OK  det=0.833 judge=0.586 10.7s
[assets.baseline] 15/21 as-15 OK  det=1.0 judge=0.716 10.6s
[assets.baseline] 16/21 as-16 OK  det=0.8 judge=0.69 25.8s
[assets.baseline] 17/21 as-17 OK  det=1.0 judge=0.65 10.4s
[assets.baseline] 18/21 as-18 OK  det=1.0 judge=0.564 13.3s
[assets.baseline] 19/21 as-19 OK  det=1.0 judge=0.662 23.1s
[assets.baseline] 20/21 as-20 OK  det=1.0 judge=0.628 34.8s
[assets.baseline] 21/21 as-21 OK  det=1.0 judge=0.624 20.8s
[assets.baseline] lane complete
