[rescore.v2_helpfirst] 20 to run (0 already done)
[rescore.v2_helpfirst] 1/20 rs-01 OK  det=0.0 judge=None 5.1s
[rescore.v2_helpfirst] 2/20 rs-02 OK  det=1.0 judge=None 6.7s
[rescore.v2_helpfirst] 3/20 rs-03 OK  det=1.0 judge=None 8.6s
[rescore.v2_helpfirst] 4/20 rs-04 OK  det=1.0 judge=None 6.5s
[rescore.v2_helpfirst] 5/20 rs-05 OK  det=0.0 judge=None 3.4s
[rescore.v2_helpfirst] 6/20 rs-06 OK  det=0.0 judge=None 3.7s
[rescore.v2_helpfirst] 7/20 rs-07 OK  det=1.0 judge=None 8.1s
[rescore.v2_helpfirst] 8/20 rs-08 OK  det=1.0 judge=None 13.4s
[rescore.v2_helpfirst] 9/20 rs-09 OK  det=1.0 judge=None 7.5s
[rescore.v2_helpfirst] 10/20 rs-10 OK  det=1.0 judge=None 8.4s
[rescore.v2_helpfirst] 11/20 rs-11 OK  det=1.0 judge=None 2.9s
[rescore.v2_helpfirst] 12/20 rs-12 OK  det=1.0 judge=None 4.0s
[rescore.v2_helpfirst] 13/20 rs-13 OK  det=1.0 judge=None 4.0s
[rescore.v2_helpfirst] 14/20 rs-14 OK  det=1.0 judge=None 3.0s
[rescore.v2_helpfirst] 15/20 rs-15 OK  det=1.0 judge=None 3.3s
[rescore.v2_helpfirst] 16/20 rs-16 OK  det=1.0 judge=None 3.5s
[rescore.v2_helpfirst] 17/20 rs-17 OK  det=1.0 judge=None 6.2s
[rescore.v2_helpfirst] 18/20 rs-18 OK  det=1.0 judge=None 5.6s
[rescore.v2_helpfirst] 19/20 rs-19 OK  det=1.0 judge=None 4.8s
[rescore.v2_helpfirst] 20/20 rs-20 OK  det=1.0 judge=None 3.4s
[rescore.v2_helpfirst] lane complete
